,region,place,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
731,Asia,Rawalpindi,915.0,28.58,624.0,0.71,0.71,0.2,0.4,2.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.4,0.8,0.2,0.1,0.4,0.0
732,Asia,Gujranwala,1449.0,28.58,409.0,2.5,2.5,0.4,0.4,1.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.4,0.2,0.2,0.11,0.2,0.0
733,Asia,Karachi,3144.0,114.3,1106.0,2.38,2.38,0.4,0.4,3.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.6,0.8,0.2,0.12,0.4,0.0
734,Asia,Bahawalpur,2637.0,28.58,332.0,4.0,4.0,0.4,0.4,2.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.4,0.2,0.2,0.11,0.2,0.0
735,Americas,Managua,1261.0,138.94,1026.0,1.82,1.82,0.6,0.2,2.0,0.6,0.4,0.6,79.0,28.82,0.6,0.6,0.8,0.0,0.4,0.63,0.4,0.0
736,Africa,Cairo,1352.0,54.6,706.0,0.96,0.96,0.8,0.4,3.0,0.2,0.2,0.6,90.2,54.45,0.2,0.2,0.8,0.6,0.6,0.48,0.6,0.0
737,Africa,Alexandria,2188.0,32.12,615.0,0.96,0.96,0.4,0.4,0.0,0.2,0.2,0.4,90.2,54.45,0.58,0.2,0.4,0.6,0.8,0.44,0.4,0.0
738,Africa,Port Said,2374.0,65.28,319.0,0.8,0.8,0.4,0.4,0.0,0.2,0.2,0.6,90.2,54.45,0.6,0.2,0.8,0.6,0.4,0.47,0.4,0.0
739,Africa,Dahab,1270.0,78.36,502.0,0.93,0.93,0.4,0.4,0.0,0.2,0.2,0.2,90.2,54.45,0.6,0.2,0.6,0.6,0.2,0.27,0.2,0.0
740,Asia,Ulaanbaatar,1047.0,40.99,870.0,1.23,1.23,0.4,0.4,3.0,0.6,0.8,0.6,56.6,27.61,0.6,0.4,0.6,0.0,0.6,0.65,0.2,0.0
741,Americas,Antigua,2209.0,106.58,1183.0,1.33,1.33,0.4,0.6,3.0,0.4,0.4,0.4,83.2,38.03,0.4,0.2,1.0,0.6,1.0,0.57,0.6,0.0
742,Americas,Guatemala City,1913.0,121.9,1146.0,1.67,1.67,0.4,0.4,4.0,0.4,0.4,0.2,83.2,38.03,0.4,0.2,0.8,0.6,0.6,0.36,0.4,0.0
743,Asia,Yangon,947.0,120.11,1161.0,0.77,0.77,0.4,0.8,2.0,0.22140654105967378,0.2,0.6,96.3,49.89845832716723,0.8,0.4,0.8,0.0,1.0,0.52,0.4,0.0
744,Asia,Bishkek,880.0,43.66,611.0,0.54,0.54,1.0,1.0,2.0,0.4,0.6897804322020131,0.6,60.65791518007986,30.16,0.4,0.6,1.0,0.0,0.6,0.69,0.6,0.0
745,Asia,Vientiane,963.0,107.13,1012.0,1.53,1.53,0.4,0.2,1.0,0.2,0.4,0.6,84.4,71.58,0.6,0.6,1.0,0.4,0.2,0.56,0.2,0.0
746,Africa,Tunis,2233.0,349.69,1085.0,1.31,1.31,0.4,0.4,4.0,0.4,0.6,0.4,74.6,31.6,0.4,0.2,0.8,0.0,1.0,0.6,0.4,0.0
747,Asia,Duhok,2381.0,384.3,1646.0,0.0,0.0,0.4,0.4,3.0,0.3361448190063011,0.5263922188094554,0.6,60.30161156283052,39.676178747125824,0.8,0.4,0.6,0.6,0.6,0.72,0.4,0.0
748,Asia,Sulaymaniyah,3805.0,396.5,1881.0,3.61,3.61,0.4,0.4,3.0,0.4202617829024143,0.5466141485170734,0.4,61.696423598426186,38.61144257305652,0.2,0.4,0.8,0.6,0.8,0.67,0.6,0.0
749,Asia,Erbil,3706.0,183.0,2084.0,2.0,2.0,0.4,0.4,3.0,0.3626855637190144,0.593029314724618,0.4,55.010707623718126,38.164762019295544,0.2,0.2,0.8,0.6,0.4,0.61,0.4,0.0
750,Asia,Baghdad,2980.0,183.0,1453.0,2.0,2.0,0.4,0.4,3.0,0.2,0.2,0.2,104.7,54.35,0.2,0.2,0.4,0.6,0.2,0.09,0.2,0.0
751,Asia,Basra,10121.0,182.69,3749.0,0.0,0.0,0.2,0.2,2.0,0.2,0.2,0.2,104.7,54.35,0.2,0.2,0.6,0.2,0.4,0.12,0.2,0.0
752,Africa,Kinshasa,3176.0,130.89,576.0,1.61,1.61,0.4,0.2,0.0,0.2760737602296588,0.3477985885964516,0.4,82.44852253489113,55.46602288486025,0.2,0.4,0.4,0.0,0.6,0.64,0.6,0.0
753,Africa,Bamako,3542.0,492.07,1423.0,4.3,4.3,0.4,0.2,8.0,0.4,0.2,0.4,95.2,39.83,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.0
754,Asia,Kathmandu,564.0,0.83,411.0,0.93,0.93,0.4,0.4,0.0,0.4,0.2,0.42,91.2,32.62,0.6,0.6,1.0,0.0,1.0,0.52,0.4,0.0
755,Africa,Algiers,2422.0,79.21,955.0,1.62,1.62,0.4,0.4,3.0,0.2,0.4,0.25,78.3,41.69,0.2,0.2,0.4,0.4,0.6,0.6,0.4,0.0
756,Africa,Kigali,1732.0,130.0,1272.0,1.5,1.5,0.6,0.8,2.0,0.2,0.2,0.6,91.3,54.61,0.8,0.4,0.8,0.0,0.6,0.5,0.6,0.0
757,Asia,Tashkent,1867.0,207.55,1048.0,2.55,2.55,0.4,0.2,1.0,0.2,0.4,0.6,83.5,61.15,0.6,0.2,0.8,0.0,0.6,0.54,0.6,0.0
758,Africa,Maputo,1965.0,197.49,1418.0,2.43,2.43,0.4,0.4,2.0,0.4,0.4,0.6,87.8,30.25,0.4,0.4,0.8,0.6,0.6,0.53,0.4,0.0
759,Africa,Brazzaville,3520.0,0.03,1968.0,0.0,0.0,0.2,0.4,2.0,0.21153170461538084,0.41877511922541966,0.4,78.52574074808854,53.477757204886515,0.4,0.2,0.6,0.4,0.4,0.62,0.6,0.0
760,Asia,Antananarivo,1285.0,255.3,926.0,1.18,1.18,0.4,0.4,0.0,0.6,0.4,0.8,84.2,27.04,0.4,0.2,0.4,0.6,0.4,0.5,0.2,0.0
761,Africa,Dar es Salaam,1823.0,274.99,2545.0,1.49,1.49,0.2,0.4,2.0,0.6,0.4,0.4,81.8,28.65,0.4,0.2,0.6,0.0,0.4,0.5,0.4,0.0
762,Africa,Addis Ababa,1493.0,246.33,1416.0,1.12,1.12,0.4,0.4,2.0,0.2,0.2,0.4,97.2,45.13,0.4,0.2,0.6,0.0,0.6,0.42,0.4,0.0
